date,implied_div_amount,Close,ticker,trailing_12m_dividend,dividend_yield
2015-01-31,0.0,96.9499969482422,AMT,0.0,0.0
2015-02-28,0.0,99.13999938964844,AMT,0.0,0.0
2015-03-31,0.0,94.1500015258789,AMT,0.0,0.0
2015-04-30,0.42035140820898076,94.52999877929688,AMT,0.42035140820898076,0.00444675144014751
2015-05-31,0.0,92.79000091552734,AMT,0.42035140820898076,0.004530136911968062
2015-06-30,0.43763177745948545,93.29000091552734,AMT,0.8579831856684662,0.009196946910155535
2015-07-31,0.0,95.11000061035156,AMT,0.8579831856684662,0.009020956578304188
2015-08-31,0.0,92.19000244140624,AMT,0.8579831856684662,0.009306683620209033
2015-09-30,0.4618561236062317,87.9800033569336,AMT,1.3198393092746978,0.015001582847412825
2015-10-31,0.0,102.2300033569336,AMT,1.3198393092746978,0.01291048876000239
2015-11-30,0.0,99.37999725341795,AMT,1.3198393092746978,0.013280734008365097
2015-12-31,0.49449800674902533,96.9499969482422,AMT,1.8143373160237233,0.018714155473283065
2016-01-31,0.0,94.33999633789062,AMT,1.8143373160237233,0.01923189936880477
2016-02-29,0.0,92.1999969482422,AMT,1.8143373160237233,0.01967827956699638
2016-03-31,0.0,102.37000274658205,AMT,1.8143373160237233,0.017723329758182513
2016-04-30,0.5159260680625177,104.87999725341795,AMT,1.9099119758772602,0.018210450285028185
2016-05-31,0.0,105.77999877929688,AMT,1.9099119758772602,0.01805551141914993
2016-06-30,0.5307226822929118,113.61000061035156,AMT,2.0030028807106866,0.01763051553516305
2016-07-31,0.0,115.7699966430664,AMT,2.0030028807106866,0.017301571553864675
2016-08-31,0.0,113.37999725341795,AMT,2.0030028807106866,0.017666280906972805
2016-09-30,0.5529592061330363,113.33000183105467,AMT,2.0941059632374914,0.018477948728521636
2016-10-31,0.0,117.19000244140624,AMT,2.0941059632374914,0.017869322635132825
2016-11-30,0.0,102.2699966430664,AMT,2.0941059632374914,0.020476249457073444
2016-12-31,0.5800894232225557,105.68000030517578,AMT,2.1796973797110217,0.02062544827229972
2017-01-31,0.0,103.5,AMT,2.1796973797110217,0.02105987806484079
2017-02-28,0.0,114.79000091552734,AMT,2.1796973797110217,0.018988564877833184
2017-03-31,0.0,121.54000091552734,AMT,2.1796973797110217,0.017933991799341468
2017-04-30,0.6249852667851972,125.94000244140624,AMT,2.288756578433701,0.018173388391814177
2017-05-31,0.0,131.19000244140625,AMT,2.288756578433701,0.01744612040430394
2017-06-30,0.6449527874333327,132.32000732421875,AMT,2.402986683574122,0.01816041830836794
2017-07-31,0.0,136.3300018310547,AMT,2.402986683574122,0.017626249917842694
2017-08-31,0.0,148.0500030517578,AMT,2.402986683574122,0.01623091275948198
2017-09-30,0.6699330019048816,136.67999267578125,AMT,2.519960479345967,0.018436937477188546
2017-10-31,0.0,143.6699981689453,AMT,2.519960479345967,0.017539921427316228
2017-11-30,0.0,143.92999267578125,AMT,2.519960479345967,0.017508237390260042
2017-12-31,0.7067425434246022,142.6699981689453,AMT,2.646613599548014,0.018550596716304556
2018-01-31,0.0,147.6999969482422,AMT,2.646613599548014,0.017918846677264687
2018-02-28,0.0,139.3300018310547,AMT,2.646613599548014,0.01899528862963182
2018-03-31,0.0,145.33999633789062,AMT,2.646613599548014,0.018209809180090318
